------------------------------------------------------------------------------------------------------
********************************************原始数据信息**********************************************
------------------------------------------------------------------------------------------------------

118节点系统的计算结果如下：
最大允许迭代次数：30
计算精度：1e-05
节点数   线路支路数   变压器支路数    发动机个数   负荷个数
92   93   0.02580000     0.08480000     0.01090000
92   94   0.04810000     0.15800000     0.02030000
93   94   0.02230000     0.07320000     0.00938000
94   95   0.01320000     0.04340000     0.00555000
80   96   0.03560000     0.18200000     0.02470000
82   96   0.01620000     0.05300000     0.02720000
94   96   0.02690000     0.08690000     0.01150000
80   97   0.01830000     0.09340000     0.01270000
80   98   0.02380000     0.10800000     0.01430000
80   99   0.04540000     0.20600000     0.02730000
92   100  0.06480000     0.29500000     0.02360000
94   100  0.01780000     0.05800000     0.03020000
95   96   0.01710000     0.05470000     0.00737000
96   97   0.01730000     0.08850000     0.01200000
98   100  0.03970000     0.17900000     0.02380000
99   100  0.01800000     0.08130000     0.01080000
100  101  0.02770000     0.12620000     0.01640000
92   102  0.01230000     0.05590000     0.00732000
101  102  0.02460000     0.11200000     0.01470000
100  103  0.01600000     0.05250000     0.02680000
100  104  0.04510000     0.20400000     0.02705000
103  104  0.04660000     0.15840000     0.02035000
103  105  0.05350000     0.16250000     0.02040000
100  106  0.06050000     0.22900000     0.03100000
104  105  0.00994000     0.03780000     0.00493000
105  106  0.01400000     0.05470000     0.00717000
105  107  0.05300000     0.18300000     0.02360000
105  108  0.02610000     0.07030000     0.00922000
106  107  0.05300000     0.18300000     0.02360000
108  109  0.01050000     0.02880000     0.00380000
103  110  0.03906000     0.18130000     0.02305000
109  110  0.02780000     0.07620000     0.01010000
110  111  0.02200000     0.07550000     0.01000000
110  112  0.02470000     0.06400000     0.03100000
17   113  0.00913000     0.03010000     0.00384000
32   113  0.06150000     0.20300000     0.02590000
32   114  0.01350000     0.06120000     0.00814000
27   115  0.01640000     0.07410000     0.00986000
114  115  0.00230000     0.01040000     0.00138000
68   116  0.00034000     0.00405000     0.08200000
12   117  0.03290000     0.14000000     0.01790000
75   118  0.01450000     0.04810000     0.00599000
76   118  0.01640000     0.05440000     0.00678000
5    5    0.00000000     -0.40000000    -1.00000000
34   34   0.00000000     0.14000000     -1.00000000
37   37   0.00000000     -0.25000000    -1.00000000
44   44   0.00000000     0.10000000     -1.00000000
45   45   0.00000000     0.10000000     -1.00000000
46   46   0.00000000     0.10000000     -1.00000000
48   48   0.00000000     0.15000000     -1.00000000
74   74   0.00000000     0.12000000     -1.00000000
79   79   0.00000000     0.20000000     -1.00000000
82   82   0.00000000     0.20000000     -1.00000000
83   83   0.00000000     0.10000000     -1.00000000
105  105  0.00000000     0.20000000     -1.00000000
107  107  0.00000000     0.06000000     -1.00000000
110  110  0.00000000     0.06000000     -1.00000000

<----------------------------------------------变压器数据---------------------------------------------->

i    j(非标准变比侧)     R              X              K              
5    8                   0.00000000     0.02670000     0.98500000     
25   26                  0.00000000     0.03820000     0.96000000     
17   30                  0.00000000     0.03880000     0.96000000     
37   38                  0.00000000     0.03750000     0.93500000     
59   63                  0.00000000     0.03860000     0.96000000     
61   64                  0.00000000     0.02680000     0.98500000     
66   65                  0.00000000     0.03700000     0.93500000     
69   68                  0.00000000     0.03700000     0.93500000     
80   81                  0.00000000     0.03700000     0.93500000     

<----------------------------------------------发电机数据---------------------------------------------->

i    type    p              Q              V              
69   0       0.52359880     0.00000000     1.03500000     
1    -1      0.00000000     0.00000000     0.95500000     
4    -1      -0.09000000    0.00000000     0.99800000     
6    -1      0.00000000     0.00000000     0.99000000     
8    -1      -0.28000000    0.00000000     1.01500000     
10   -1      4.50000000     0.00000000     1.05000000     
12   -1      0.85000000     0.00000000     0.99000000     
15   -1      0.00000000     0.00000000     0.97000000     
18   -1      0.00000000     0.00000000     0.97300000     
19   -1      0.00000000     0.00000000     0.96300000     
24   -1      -0.13000000    0.00000000     0.99200000     
25   -1      2.20000000     0.00000000     1.05000000     
26   -1      3.14000000     0.00000000     1.01500000     
27   -1      -0.09000000    0.00000000     0.96800000     
31   -1      0.07000000     0.00000000     0.96700000     
32   -1      0.00000000     0.00000000     0.96400000     
34   -1      0.00000000     0.00000000     0.98600000     
36   -1      0.00000000     0.00000000     0.98000000     
40   -1      -0.46000000    0.00000000     0.97000000     
42   -1      -0.59000000    0.00000000     0.98500000     
46   -1      0.19000000     0.00000000     1.00500000     
49   -1      2.04000000     0.00000000     1.02500000     
54   -1      0.48000000     0.00000000     0.95500000     
55   -1      0.00000000     0.00000000     0.95200000     
56   -1      0.00000000     0.00000000     0.95400000     
59   -1      1.55000000     0.00000000     0.98500000     
61   -1      1.60000000     0.00000000     0.99500000     
62   -1      0.00000000     0.00000000     0.99800000     
65   -1      3.91000000     0.00000000     1.00500000     
66   -1      3.92000000     0.00000000     1.05000000     
70   -1      0.00000000     0.00000000     0.98400000     
72   -1      -0.12000000    0.00000000     0.98000000     
73   -1      -0.06000000    0.00000000     0.99100000     
74   -1      0.00000000     0.00000000     0.95800000     
76   -1      0.00000000     0.00000000     0.94300000     
77   -1      0.00000000     0.00000000     1.00600000     
80   -1      4.77000000     0.00000000     1.04000000     
85   -1      0.00000000     0.00000000     0.98500000     
87   -1      0.04000000     0.00000000     1.01500000     
89   -1      6.07000000     0.00000000     1.00500000     
90   -1      -0.85000000    0.00000000     0.98500000     
91   -1      -0.10000000    0.00000000     0.98000000     
92   -1      0.00000000     0.00000000     0.99300000     
99   -1      -0.42000000    0.00000000     1.01000000     
100  -1      2.52000000     0.00000000     1.01700000     
103  -1      0.40000000     0.00000000     1.00100000     
104  -1      0.00000000     0.00000000     0.97100000     
105  -1      0.00000000     0.00000000     0.96500000     
107  -1      -0.22000000    0.00000000     0.95200000     
110  -1      0.00000000     0.00000000     0.97300000     
111  -1      0.36000000     0.00000000     0.98000000     
112  -1      -0.43000000    0.00000000     0.97500000     
113  -1      -0.06000000    0.00000000     0.99300000     
116  -1      -1.84000000    0.00000000     1.00500000     

<-----------------------------------------------负荷数据----------------------------------------------->

i    type    p              Q              V              
1    1       0.51000000     0.27000000     0.00000000     
2    1       0.20000000     0.09000000     0.00000000     
3    1       0.39000000     0.10000000     0.00000000     
4    1       0.30000000     0.12000000     0.00000000     
5    1       0.00000000     0.00000000     0.00000000     
6    1       0.52000000     0.22000000     0.00000000     
7    1       0.19000000     0.02000000     0.00000000     
9    1       0.00000000     0.00000000     0.00000000     
11   1       0.70000000     0.23000000     0.00000000     
12   1       0.47000000     0.10000000     0.00000000     
13   1       0.34000000     0.16000000     0.00000000     
14   1       0.14000000     0.01000000     0.00000000     
15   1       0.90000000     0.30000000     0.00000000     
16   1       0.25000000     0.10000000     0.00000000     
17   1       0.11000000     0.03000000     0.00000000     
18   1       0.60000000     0.34000000     0.00000000     
19   1       0.45000000     0.25000000     0.00000000     
20   1       0.18000000     0.03000000     0.00000000     
21   1       0.14000000     0.08000000     0.00000000     
22   1       0.10000000     0.05000000     0.00000000     
23   1       0.07000000     0.03000000     0.00000000     
27   1       0.62000000     0.13000000     0.00000000     
28   1       0.17000000     0.07000000     0.00000000     
29   1       0.24000000     0.04000000     0.00000000     
30   1       0.00000000     0.00000000     0.00000000     
31   1       0.43000000     0.27000000     0.00000000     
32   1       0.59000000     0.23000000     0.00000000     
33   1       0.23000000     0.09000000     0.00000000     
34   1       0.59000000     0.26000000     0.00000000     
35   1       0.33000000     0.09000000     0.00000000     
36   1       0.31000000     0.17000000     0.00000000     
37   1       0.00000000     0.00000000     0.00000000     
38   1       0.00000000     0.00000000     0.00000000     
39   1       0.27000000     0.11000000     0.00000000     
40   1       0.20000000     0.23000000     0.00000000     
41   1       0.37000000     0.10000000     0.00000000     
42   1       0.37000000     0.23000000     0.00000000     
43   1       0.18000000     0.07000000     0.00000000     
44   1       0.16000000     0.08000000     0.00000000     
45   1       0.53000000     0.22000000     0.00000000     
46   1       0.28000000     0.10000000     0.00000000     
47   1       0.34000000     0.00000000     0.00000000     
48   1       0.20000000     0.11000000     0.00000000     
49   1       0.87000000     0.30000000     0.00000000     
50   1       0.17000000     0.04000000     0.00000000     
51   1       0.17000000     0.08000000     0.00000000     
52   1       0.18000000     0.05000000     0.00000000     
53   1       0.23000000     0.11000000     0.00000000     
54   1       1.13000000     0.32000000     0.00000000     
55   1       0.63000000     0.22000000     0.00000000     
56   1       0.84000000     0.18000000     0.00000000     
57   1       0.12000000     0.03000000     0.00000000     
58   1       0.12000000     0.03000000     0.00000000     
59   1       2.77000000     1.13000000     0.00000000     
60   1       0.78000000     0.03000000     0.00000000     
62   1       0.77000000     0.14000000     0.00000000     
63   1       0.00000000     0.00000000     0.00000000     
64   1       0.00000000     0.00000000     0.00000000     
66   1       0.39000000     0.18000000     0.00000000     
67   1       0.28000000     0.07000000     0.00000000     
68   1       0.00000000     0.00000000     0.00000000     
70   1       0.66000000     0.20000000     0.00000000     
71   1       0.00000000     0.00000000     0.00000000     
74   1       0.68000000     0.27000000     0.00000000     
75   1       0.47000000     0.11000000     0.00000000     
76   1       0.68000000     0.36000000     0.00000000     
77   1       0.61000000     0.28000000     0.00000000     
78   1       0.71000000     0.26000000     0.00000000     
79   1       0.39000000     0.32000000     0.00000000     
80   1       1.30000000     0.26000000     0.00000000     
81   1       0.00000000     0.00000000     0.00000000     
82   1       0.54000000     0.27000000     0.00000000     
83   1       0.20000000     0.10000000     0.00000000     
84   1       0.11000000     0.07000000     0.00000000     
85   1       0.24000000     0.15000000     0.00000000     
86   1       0.21000000     0.10000000     0.00000000     
88   1       0.48000000     0.10000000     0.00000000     
90   1       0.78000000     0.42000000     0.00000000     
92   1       0.65000000     0.10000000     0.00000000     
93   1       0.12000000     0.07000000     0.00000000     
94   1       0.30000000     0.16000000     0.00000000     
95   1       0.42000000     0.31000000     0.00000000     
96   1       0.38000000     0.15000000     0.00000000     
97   1       0.15000000     0.09000000     0.00000000     
98   1       0.34000000     0.08000000     0.00000000     
100  1       0.37000000     0.18000000     0.00000000     
101  1       0.22000000     0.15000000     0.00000000     
102  1       0.05000000     0.03000000     0.00000000     
103  1       0.23000000     0.16000000     0.00000000     
104  1       0.38000000     0.25000000     0.00000000     
105  1       0.31000000     0.26000000     0.00000000     
106  1       0.43000000     0.16000000     0.00000000     
107  1       0.28000000     0.12000000     0.00000000     
108  1       0.02000000     0.01000000     0.00000000     
109  1       0.08000000     0.03000000     0.00000000     
110  1       0.39000000     0.30000000     0.00000000     
112  1       0.25000000     0.13000000     0.00000000     
114  1       0.08000000     0.03000000     0.00000000     
115  1       0.22000000     0.07000000     0.00000000     
117  1       0.20000000     0.08000000     0.00000000     
118  1       0.33000000     0.15000000     0.00000000     




------------------------------------------------------------------------------------------------------------
********************************************牛顿法潮流计算结果**********************************************
------------------------------------------------------------------------------------------------------------

节点数：118
发电机数：54
负荷数：101
不接地线路数：177
接地线路数：14
变压器数：9
平衡节点：69
迭代次数：5
最大失配量：0.00000000
最低电压值：0.94300000      最低电压节点：76


<-----------------------------------------------各节点数据------------------------------------------------->

节点    电压幅值       电压相位       Pg             Qg             Pl             Ql             
69      1.03500000     30.00000191    5.13477796     -0.82385784    0.00000000     0.00000000     
1       0.95500000     10.98267396    0.00000000     -0.03103903    0.51000000     0.27000000     
4       0.99800000     15.58348562    -0.09000000    -0.15005692    0.30000000     0.12000000     
6       0.99000000     13.30166987    0.00000000     0.15929659     0.52000000     0.22000000     
8       1.01500000     21.04901383    -0.28000000    0.62728656     0.00000000     0.00000000     
10      1.05000000     35.88402830    4.50000000     -0.51042152    0.00000000     0.00000000     
12      0.99000000     12.49920628    0.85000000     0.91272340     0.47000000     0.10000000     
15      0.97000000     11.48919444    0.00000000     0.04066337     0.90000000     0.30000000     
18      0.97300000     11.79270844    0.00000000     0.26365246     0.60000000     0.34000000     
19      0.96300000     11.31409861    0.00000000     -0.10172711    0.45000000     0.25000000     
24      0.99200000     21.11777403    -0.13000000    -0.15401842    0.00000000     0.00000000     
25      1.05000000     28.18402419    2.20000000     0.49720204     0.00000000     0.00000000     
26      1.01500000     29.96460135    3.14000000     0.09887258     0.00000000     0.00000000     
27      0.96800000     15.61332571    -0.09000000    0.02030360     0.62000000     0.13000000     
31      0.96700000     13.01398013    0.07000000     0.31565607     0.43000000     0.27000000     
32      0.96400000     15.05429532    0.00000000     -0.12338329    0.59000000     0.23000000     
34      0.98600000     11.50501204    0.00000000     -0.06833880    0.59000000     0.26000000     
36      0.98000000     11.08472384    0.00000000     -0.01920364    0.31000000     0.17000000     
40      0.97000000     7.52504661     -0.46000000    0.26768839     0.20000000     0.23000000     
42      0.98500000     8.67399272     -0.59000000    0.41002855     0.37000000     0.23000000     
46      1.00500000     18.58239936    0.19000000     -0.05246050    0.28000000     0.10000000     
49      1.02500000     21.02810968    2.04000000     1.15634134     0.87000000     0.30000000     
54      0.95500000     15.35321463    0.48000000     0.03902637     1.13000000     0.32000000     
55      0.95200000     15.06327785    0.00000000     0.04664187     0.63000000     0.22000000     
56      0.95400000     15.24998840    0.00000000     -0.02285590    0.84000000     0.18000000     
59      0.98500000     19.45246048    1.55000000     0.76833146     2.77000000     1.13000000     
61      0.99500000     24.12503424    1.60000000     -0.40394236    0.00000000     0.00000000     
62      0.99800000     23.50851247    0.00000000     0.01258829     0.77000000     0.14000000     
65      1.00500000     27.72170646    3.91000000     0.80758423     0.00000000     0.00000000     
66      1.05000000     27.56286416    3.92000000     -0.01950621    0.39000000     0.18000000     
70      0.98400000     22.62004819    0.00000000     0.09663715     0.66000000     0.20000000     
72      0.98000000     21.11162429    -0.12000000    -0.11130206    0.00000000     0.00000000     
73      0.99100000     21.99769161    -0.06000000    0.09651292     0.00000000     0.00000000     
74      0.95800000     21.67119049    0.00000000     -0.05627194    0.68000000     0.27000000     
76      0.94300000     21.80300741    0.00000000     0.05268982     0.68000000     0.36000000     
77      1.00600000     26.75688690    0.00000000     0.11866035     0.61000000     0.28000000     
80      1.04000000     28.99774179    4.77000000     1.04901207     1.30000000     0.26000000     
85      0.98500000     32.55045747    -0.00000000    -0.05822355    0.24000000     0.15000000     
87      1.01500000     31.44022115    0.04000000     0.11021607     0.00000000     0.00000000     
89      1.00500000     39.73432058    6.07000000     -0.13661145    0.00000000     0.00000000     
90      0.98500000     33.33105146    -0.85000000    0.59297102     0.78000000     0.42000000     
91      0.98000000     33.35206835    -0.10000000    -0.15404014    0.00000000     0.00000000     
92      0.99300000     33.84106845    0.00000000     0.00485267     0.65000000     0.10000000     
99      1.01000000     27.08481135    -0.42000000    -0.17536995    0.00000000     0.00000000     
100     1.01700000     28.08105732    2.52000000     1.08873207     0.37000000     0.18000000     
103     1.00100000     24.48041979    0.40000000     0.41689394     0.23000000     0.16000000     
104     0.97100000     21.74167048    0.00000000     0.08000892     0.38000000     0.25000000     
105     0.96500000     20.63402254    -0.00000000    -0.12886201    0.31000000     0.26000000     
107     0.95200000     17.57583476    -0.22000000    0.06563101     0.28000000     0.12000000     
110     0.97300000     18.13522930    -0.00000000    0.05257034     0.39000000     0.30000000     
111     0.98000000     19.78031023    0.36000000     -0.01843825    0.00000000     0.00000000     
112     0.97500000     15.03601167    -0.43000000    0.41511693     0.25000000     0.13000000     
113     0.99300000     14.00419234    -0.06000000    0.06108360     0.00000000     0.00000000     
116     1.00500000     27.16559488    -1.84000000    0.51323674     0.00000000     0.00000000     
2       0.97139276     11.52270731    0.00000000     0.00000000     0.20000000     0.09000000     
3       0.96769186     11.86602938    0.00000000     0.00000000     0.39000000     0.10000000     
5       1.00198432     16.02849574    0.00000000     0.00000000     0.00000000     0.00000000     
7       0.98932785     12.85732335    0.00000000     0.00000000     0.19000000     0.02000000     
9       1.04291821     28.30311902    0.00000000     0.00000000     0.00000000     0.00000000     
11      0.98508887     13.01593685    0.00000000     0.00000000     0.70000000     0.23000000     
13      0.96830269     11.64100259    0.00000000     0.00000000     0.34000000     0.16000000     
14      0.98359129     11.78299878    0.00000000     0.00000000     0.14000000     0.01000000     
16      0.98391214     12.19777316    0.00000000     0.00000000     0.25000000     0.10000000     
17      0.99513474     14.00584352    0.00000000     0.00000000     0.11000000     0.03000000     
20      0.95775636     12.19187618    0.00000000     0.00000000     0.18000000     0.03000000     
21      0.95841129     13.77865628    0.00000000     0.00000000     0.14000000     0.08000000     
22      0.96954131     16.33173231    0.00000000     0.00000000     0.10000000     0.05000000     
23      0.99971527     21.24914002    0.00000000     0.00000000     0.07000000     0.03000000     
28      0.96156820     13.88903010    0.00000000     0.00000000     0.17000000     0.07000000     
29      0.96321602     12.89699644    0.00000000     0.00000000     0.24000000     0.04000000     
30      0.98553307     19.03986155    0.00000000     0.00000000     0.00000000     0.00000000     
33      0.97160690     10.86404161    0.00000000     0.00000000     0.23000000     0.09000000     
35      0.98069540     11.07999610    0.00000000     0.00000000     0.33000000     0.09000000     
37      0.99207989     11.96944183    0.00000000     0.00000000     0.00000000     0.00000000     
38      0.96203604     17.10622676    0.00000000     0.00000000     0.00000000     0.00000000     
39      0.97048884     8.59831851     0.00000000     0.00000000     0.27000000     0.11000000     
41      0.96683320     7.07883342     0.00000000     0.00000000     0.37000000     0.10000000     
43      0.97858222     11.45938195    0.00000000     0.00000000     0.18000000     0.07000000     
44      0.98505076     13.94534696    0.00000000     0.00000000     0.16000000     0.08000000     
45      0.98667432     15.77623149    0.00000000     0.00000000     0.53000000     0.22000000     
47      1.01705414     20.80481776    0.00000000     0.00000000     0.34000000     0.00000000     
48      1.02063341     20.02503516    0.00000000     0.00000000     0.20000000     0.11000000     
50      1.00108229     18.98903130    0.00000000     0.00000000     0.17000000     0.04000000     
51      0.96687584     16.36995379    0.00000000     0.00000000     0.17000000     0.08000000     
52      0.95681708     15.41651584    0.00000000     0.00000000     0.18000000     0.05000000     
53      0.94598244     14.44152353    0.00000000     0.00000000     0.23000000     0.11000000     
57      0.97058205     16.45480382    0.00000000     0.00000000     0.12000000     0.03000000     
58      0.95903813     15.59797817    0.00000000     0.00000000     0.12000000     0.03000000     
60      0.99315628     23.23372287    0.00000000     0.00000000     0.78000000     0.03000000     
63      0.96873800     22.83094100    0.00000000     0.00000000     0.00000000     0.00000000     
64      0.98373938     24.59664026    0.00000000     0.00000000     0.00000000     0.00000000     
67      1.01968160     24.92292236    0.00000000     0.00000000     0.28000000     0.07000000     
68      1.00324937     27.60058336    0.00000000     0.00000000     0.00000000     0.00000000     
71      0.98684456     22.20918452    0.00000000     0.00000000     0.00000000     0.00000000     
75      0.96733273     22.93297883    0.00000000     0.00000000     0.47000000     0.11000000     
78      1.00342383     26.45303466    0.00000000     0.00000000     0.71000000     0.26000000     
79      1.00922297     26.75218928    0.00000000     0.00000000     0.39000000     0.32000000     
81      0.99680786     28.14950006    0.00000000     0.00000000     0.00000000     0.00000000     
82      0.98880579     27.27573044    0.00000000     0.00000000     0.54000000     0.27000000     
83      0.98456622     28.46488457    0.00000000     0.00000000     0.20000000     0.10000000     
84      0.97976759     30.99699416    0.00000000     0.00000000     0.11000000     0.07000000     
86      0.98669075     31.18100871    0.00000000     0.00000000     0.21000000     0.10000000     
88      0.98745798     35.67993401    0.00000000     0.00000000     0.48000000     0.10000000     
93      0.98737401     30.83668320    0.00000000     0.00000000     0.12000000     0.07000000     
94      0.99081029     28.68686774    0.00000000     0.00000000     0.30000000     0.16000000     
95      0.98111441     27.71587149    0.00000000     0.00000000     0.42000000     0.31000000     
96      0.99279544     27.54914921    0.00000000     0.00000000     0.38000000     0.15000000     
97      1.01143105     27.92294349    0.00000000     0.00000000     0.15000000     0.09000000     
98      1.02350951     27.44641937    0.00000000     0.00000000     0.34000000     0.08000000     
101     0.99275757     29.64950179    0.00000000     0.00000000     0.22000000     0.15000000     
102     0.99159419     32.34140003    0.00000000     0.00000000     0.05000000     0.03000000     
106     0.96113611     20.37949670    0.00000000     0.00000000     0.43000000     0.16000000     
108     0.96621191     19.43424232    0.00000000     0.00000000     0.02000000     0.01000000     
109     0.96702567     18.98176677    0.00000000     0.00000000     0.08000000     0.03000000     
114     0.96067612     14.72696304    0.00000000     0.00000000     0.08000000     0.03000000     
115     0.96053457     14.71977961    0.00000000     0.00000000     0.22000000     0.07000000     
117     0.97382445     10.95820589    0.00000000     0.00000000     0.20000000     0.08000000     
118     0.94943811     21.94530767    0.00000000     0.00000000     0.33000000     0.15000000     


<------------------------------------------------支路功率------------------------------------------------->

节点号I   节点号J   支路功率I->J                支路功率J->I               支路有功损耗   支路无功损耗   
1         2         -0.12356145+j-0.13040118    0.12453771+j0.11005345     0.00097626     -0.02034773    
1         3         -0.38643855+j-0.17063785    0.38893917+j0.16885680     0.00250061     -0.00178105    
4         5         -1.03212512+j-0.26791936    1.03413339+j0.27492507     0.00200827     0.00700571     
3         5         -0.68102790+j-0.14490983    0.69341008+j0.17284475     0.01238218     0.02793492     
5         6         0.88455423+j0.04108423     -0.87525249+j-0.01302112    0.00930173     0.02806311     
6         7         0.35525249+j-0.04768229    -0.35465198+j0.04501670     0.00060052     -0.00266559    
8         9         -4.40635012+j-0.89733625    4.45254650+j0.24428906     0.04619637     -0.65304719    
9         10        -4.45254650+j-0.24428906    4.50000000+j-0.51042152    0.04745350     -0.75471058    
4         11        0.64212512+j-0.00213756    -0.63347206+j0.01343592     0.00865306     0.01129836     
5         11        0.77205127+j0.02969768     -0.75996922+j-0.00626404    0.01208205     0.02343364     
11        12        0.34282519+j-0.35131583    -0.34135825+j0.35125234     0.00146694     -0.00006349    
2         12        -0.32453771+j-0.20005345    0.32736040+j0.19423143     0.00282270     -0.00582201    
3         12        -0.09791127+j-0.12394697    0.09897592+j0.08856096     0.00106465     -0.03538601    
